s_no,경기 날짜,총득점,홈 선발투수,원정 선발투수
20250001,03-22,14.0,반즈,치리노스
20250002,03-22,11.0,콜어빈,앤더슨
20250003,03-22,18.0,로젠버그,후라도
20250004,03-22,7.0,폰세,헤이수스
20250005,03-22,11.0,로건,네일
20250006,03-23,12.0,박세웅,손주영
20250007,03-23,7.0,잭로그,김광현
20250008,03-23,18.0,하영민,백정현
20250009,03-23,9.0,와이스,쿠에바스
20250010,03-23,9.0,라일리,양현종
20250011,03-25,5.0,류현진,에르난데스
20250012,03-25,5.0,데이비슨,문승원
20250013,03-25,11.0,최원준,고영표
20250014,03-25,19.0,최성영,최원태
20250015,03-25,17.0,김윤하,올러
20250016,03-26,4.0,엄상백,임찬규
20250017,03-26,4.0,김진욱,송영진
20250018,03-26,5.0,최승용,소형준
20250019,03-26,14.0,신민혁,이승현
20250020,03-26,27.0,정현우,윤영철
20250021,03-27,3.0,문동주,송승기
20250022,03-27,7.0,나균안,박종훈
20250023,03-27,7.0,김유성,오원석
20250024,03-27,16.0,목지훈,김대호
20250025,03-27,8.0,윤현,김도현
20250026,03-28,2.0,후라도,콜어빈
20250027,03-28,12.0,앤더슨,로젠버그
20250028,03-28,9.0,네일,폰세
20250029,03-28,2.0,헤이수스,반즈
20250030,03-28,12.0,치리노스,로건
20250031,03-29,15.0,원태인,잭로그
20250032,03-29,4.0,김광현,하영민
20250033,03-29,9.0,양현종,와이스
20250034,03-29,4.0,쿠에바스,박세웅
20250035,03-29,18.0,손주영,라일리
20250036,03-30,5.0,레예스,최원준
20250037,03-30,10.0,문승원,김윤하
20250038,03-30,8.0,올러,류현진
20250039,03-30,8.0,고영표,데이비슨
20250040,03-30,0.0,에르난데스,김태경
20250041,04-01,0.0,정현우,최승용
20250042,04-01,0.0,송영진,신민혁
20250043,04-01,0.0,에르난데스,소형준
20250044,04-01,0.0,최원태,윤영철
20250045,04-01,0.0,김진욱,엄상백
20250046,04-02,8.0,윤현,최승용
20250047,04-02,0.0,,
20250048,04-02,14.0,에르난데스,오원석
20250049,04-02,6.0,최원태,김도현
20250050,04-02,8.0,김진욱,문동주
20250051,04-03,7.0,로젠버그,콜어빈
20250052,04-03,0.0,,
20250053,04-03,6.0,임찬규,헤이수스
20250054,04-03,4.0,후라도,네일
20250055,04-03,6.0,나균안,폰세
20250056,04-04,10.0,양현종,송승기
20250057,04-04,5.0,쿠에바스,김광현
20250058,04-04,18.0,잭로그,반즈
20250059,04-04,5.0,와이스,원태인
20250060,04-04,6.0,로건,하영민
20250061,04-05,0.0,올러,치리노스
20250062,04-05,0.0,고영표,문승원
20250063,04-05,7.0,최원준,박세웅
20250064,04-05,13.0,류현진,이승현
20250065,04-05,12.0,라일리,김윤하
20250066,04-06,6.0,올러,치리노스
20250067,04-06,1.0,소형준,문승원
20250068,04-06,27.0,김유성,데이비슨
20250069,04-06,10.0,엄상백,레예스
20250070,04-06,10.0,신민혁,정현우
20250071,04-08,11.0,문동주,최승용
20250072,04-08,9.0,김도현,김진욱
20250073,04-08,10.0,송영진,최원태
20250074,04-08,5.0,목지훈,고영표
20250075,04-08,14.0,손주영,윤현
20250076,04-09,9.0,폰세,콜어빈
20250077,04-09,4.0,네일,나균안
20250078,04-09,4.0,앤더슨,후라도
20250079,04-09,5.0,로건,헤이수스
20250080,04-09,4.0,에르난데스,로젠버그
20250081,04-10,9.0,와이스,잭로그
20250082,04-10,11.0,윤영철,반즈
20250083,04-10,5.0,김광현,원태인
20250084,04-10,7.0,라일리,오원석
20250085,04-10,10.0,임찬규,하영민
20250086,04-11,7.0,최원준,송승기
20250087,04-11,12.0,박세웅,김태경
20250088,04-11,8.0,이승현,쿠에바스
20250089,04-11,12.0,박종훈,양현종
20250090,04-11,14.0,김윤하,류현진
20250091,04-12,4.0,김유성,치리노스
20250092,04-12,2.0,데이비슨,신민혁
20250093,04-12,0.0,레예스,문용익
20250094,04-12,0.0,문승원,올러
20250095,04-12,8.0,정현우,엄상백
20250096,04-13,11.0,최승용,손주영
20250097,04-13,15.0,김진욱,이용찬
20250098,04-13,11.0,레예스,소형준
20250099,04-13,16.0,문승원,올러
20250100,04-13,8.0,조영건,문동주
20250101,04-15,3.0,후라도,에르난데스
20250102,04-15,2.0,폰세,앤더슨
20250103,04-15,14.0,로젠버그,나균안
20250104,04-15,0.0,,
20250105,04-15,1.0,고영표,네일
20250106,04-16,14.0,최원태,임찬규
